node_1|node_2|edge|chunk_id
cia triad|information security objectives|comprise|73e2d00173d14fcea4d3272c0d5a90ef
confidentiality|integrity|related to|73e2d00173d14fcea4d3272c0d5a90ef
cryptography|steganography|distinct from|73e2d00173d14fcea4d3272c0d5a90ef
symmetric block ciphers|des|superceded by|73e2d00173d14fcea4d3272c0d5a90ef
symmetric block ciphers|aes|succeeded|73e2d00173d14fcea4d3272c0d5a90ef
avalanche effect|ciphers|characteristic of|73e2d00173d14fcea4d3272c0d5a90ef
caesar cipher|mono-alphabetic cipher|similar to|73e2d00173d14fcea4d3272c0d5a90ef
confidentiality|message confidentiality|comprise|73e2d00173d14fcea4d3272c0d5a90ef
information security objectives|confidentiality|include|73e2d00173d14fcea4d3272c0d5a90ef
symmetric block cipher|design parameters|mentioned and explained|74276526263e46d0b578b7dc5427fb97
symmetric block ciphers|application areas|mentioned and listed|74276526263e46d0b578b7dc5427fb97
cryptanalytic attacks|major types|written a note on|74276526263e46d0b578b7dc5427fb97
brute force attack|definition|explained with reference to ciphers|74276526263e46d0b578b7dc5427fb97
operational modes|need for|explained in symmetric block ciphers|74276526263e46d0b578b7dc5427fb97
cbc mode|ebc mode|compared and explained to achieve confidentiality|74276526263e46d0b578b7dc5427fb97
rsa algorithm|working|explained with a block diagram to achieve confidentiality|74276526263e46d0b578b7dc5427fb97
public key|private key|role explained in rsa|74276526263e46d0b578b7dc5427fb97
rsa|asymmetric cipher|explained why called as|74276526263e46d0b578b7dc5427fb97
rsa|authentication|explained and block diagram shown|74276526263e46d0b578b7dc5427fb97
rsa key sizes|typical values|mentioned and explained|74276526263e46d0b578b7dc5427fb97
rsa key generation|process|explained with an example|74276526263e46d0b578b7dc5427fb97
rsa algorithm|working|explained with a block diagram and example|74276526263e46d0b578b7dc5427fb97
rsa application areas|major types|mentioned and listed|74276526263e46d0b578b7dc5427fb97
symmetric block ciphers|usefulness|opinion on and justification given|74276526263e46d0b578b7dc5427fb97
rsa digital signature|usage|explained and application area mentioned|74276526263e46d0b578b7dc5427fb97
rsa|digital signature|used for|bb7c57bb21954126829e6c640298d099
digital signatures|application area|includes security, finance, government and other domains where trust is required|bb7c57bb21954126829e6c640298d099
digital signature certificates|concept|represents the identity of a person or organization online|bb7c57bb21954126829e6c640298d099
digital signature certificates|operations|involve verification, issuance and revocation processes|bb7c57bb21954126829e6c640298d099
digital signatures|use|provides authenticity, non-repudiation and integrity of electronic data|bb7c57bb21954126829e6c640298d099
message integrity|authentication|related concepts in Information Security|1eea08ab608e478b9f9187525d7af0ac
cryptographic hash function|message digest|synonymous terms|1eea08ab608e478b9f9187525d7af0ac
collision resistance|hash function properties|one of the major properties|1eea08ab608e478b9f9187525d7af0ac
md5|sha-256|popular message digest algorithms|1eea08ab608e478b9f9187525d7af0ac
message digest|password based authentication|used in verifying message integrity|1eea08ab608e478b9f9187525d7af0ac
two-factor authentication|multi factor authentication|related concepts in Access Control|1eea08ab608e478b9f9187525d7af0ac
dac (discretionary access control)|mac (mandatory access control)|types of access control models|1eea08ab608e478b9f9187525d7af0ac
bell lapadula security model|biba security model|related security models in Information Security|1eea08ab608e478b9f9187525d7af0ac
biometric authentication|access control matrix|approaches to authentication and access control|1eea08ab608e478b9f9187525d7af0ac
dac|mac|different types of access control models|d57e8e46cf26456682551b5456eb1f8a
abac|dac|another type of access control model, often used in conjunction with DAC|d57e8e46cf26456682551b5456eb1f8a
acl|access control matrix|related concepts for controlling access to resources|d57e8e46cf26456682551b5456eb1f8a
captcha|web applications|uses in preventing automated scripts from accessing website functionality|d57e8e46cf26456682551b5456eb1f8a
firewall|nids|related security tools used to protect networks and systems|d57e8e46cf26456682551b5456eb1f8a
perimeter network|demilitarized zone|related concepts for creating a secure boundary around a network or system|d57e8e46cf26456682551b5456eb1f8a
internal firewall|external firewall|related firewalls used to protect internal and external networks|d57e8e46cf26456682551b5456eb1f8a
nids|firewall|differences in functionality, with NIDS focusing on detecting and preventing attacks|d57e8e46cf26456682551b5456eb1f8a
true positive|false negative|related concepts for evaluating the effectiveness of an NIDS|d57e8e46cf26456682551b5456eb1f8a
honeypot|nids|uses in detecting and preventing attacks, often by attracting malicious activity|d57e8e46cf26456682551b5456eb1f8a
log|nids|importance of maintaining logs to evaluate the effectiveness of an NIDS|d57e8e46cf26456682551b5456eb1f8a
ip spoofing|dns spoofing|related attacks|c85498ab85c64d3f9c964ed0ef0d97ce
arp spoofing|ip spoofing|similar type of attack|c85498ab85c64d3f9c964ed0ef0d97ce
dos|ddos|types of Denial of Service attacks|c85498ab85c64d3f9c964ed0ef0d97ce
sql injection attack|xss attack|types of web application attacks|c85498ab85c64d3f9c964ed0ef0d97ce
csrf attack|sql injection attack|related types of web application attacks|c85498ab85c64d3f9c964ed0ef0d97ce
phishing attack|sql injection attack|types of social engineering attacks|c85498ab85c64d3f9c964ed0ef0d97ce
buffer overflow attack|salami attack|related types of cyber attacks|c85498ab85c64d3f9c964ed0ef0d97ce
tcp syn flood attack|denial of service|type of network attack|c85498ab85c64d3f9c964ed0ef0d97ce
virus|malware|related type of cyber threat|c85498ab85c64d3f9c964ed0ef0d97ce
logic bomb|trojan horse|types of malicious software|c85498ab85c64d3f9c964ed0ef0d97ce
key loggers|virus|related type of cyber threat|c85498ab85c64d3f9c964ed0ef0d97ce
ransom ware attack|session hijacking|types of cyber attacks targeting users|c85498ab85c64d3f9c964ed0ef0d97ce
