node_1|node_2|edge|chunk_id
1|number|represented as|5a6ec9a2868449f787cbbd04d229fe70
1|single|indicated a single unit|5a6ec9a2868449f787cbbd04d229fe70
introduction|virtual unwrapping techniques|covered|453a9cb6de4d459ca97edff5ab9aee69
brief history of virtual unwrapping techniques|virtual unwrapping techniques|related to|453a9cb6de4d459ca97edff5ab9aee69
how it works|virtual unwrapping techniques|explained|453a9cb6de4d459ca97edff5ab9aee69
conclusion|virtual unwrapping techniques|summarized|453a9cb6de4d459ca97edff5ab9aee69
references|virtual unwrapping techniques|listed for|453a9cb6de4d459ca97edff5ab9aee69
virtual unwrapping|digital procedure|is a type of|0788cec8ead6448d8476a3f54174f34d
tangible contents|sealed items|are hidden within|0788cec8ead6448d8476a3f54174f34d
virtual unwrapping|medical imaging|has application in|0788cec8ead6448d8476a3f54174f34d
virtual unwrapping|conservation of cultural heritage|has application in|0788cec8ead6448d8476a3f54174f34d
virtual unwrapping|archeology|has application in|0788cec8ead6448d8476a3f54174f34d
innards|fragile items|can be studied|0788cec8ead6448d8476a3f54174f34d
herculaneum scrolls|delicate writings and artifacts|are examples of|0788cec8ead6448d8476a3f54174f34d
virtual unwrapping|physical handling|helps to avoid damage from|0788cec8ead6448d8476a3f54174f34d
synchrotron radiation|wildlife detection systems|has application in|0788cec8ead6448d8476a3f54174f34d
micro-ct|x-ray computed tomography (ct)|is a type of|0788cec8ead6448d8476a3f54174f34d
internal structure imaging|digital reconstruction algorithms|can be empowered by|0788cec8ead6448d8476a3f54174f34d
researchers|objects|empower|45044d5cf6324f1da33224ddba9d7255
layers of text|images|comprise|45044d5cf6324f1da33224ddba9d7255
material composition|artifacts|constitute|45044d5cf6324f1da33224ddba9d7255
objects|researchers|be analyzed by|45044d5cf6324f1da33224ddba9d7255
layers of text|material composition|are revealed with|45044d5cf6324f1da33224ddba9d7255
unwrap|artifacts|damage-free method for|45044d5cf6324f1da33224ddba9d7255
virtual unwrapping|scanning|involves|88f48d8de0b84cb690c4211e7db00389
scanning|ct imaging|uses|88f48d8de0b84cb690c4211e7db00389
x-ray source|object|emits rays to|88f48d8de0b84cb690c4211e7db00389
scanning|3d image|creates|88f48d8de0b84cb690c4211e7db00389
segmentation & layer detection|scanned data|assists in analyzing|88f48d8de0b84cb690c4211e7db00389
advanced algorithms|layers within scanned data|identify|88f48d8de0b84cb690c4211e7db00389
texture mapping|faint text or images|accentuates|88f48d8de0b84cb690c4211e7db00389
intensity|writing materials|correlated to|5e6c95b9fcd24c0c8d18cb6756e91713
ink deposits|texture|superimposed digitally|5e6c95b9fcd24c0c8d18cb6756e91713
algorithm|contrast|achieved|5e6c95b9fcd24c0c8d18cb6756e91713
layers of interest|digital algorithms|processed by|5e6c95b9fcd24c0c8d18cb6756e91713
object|layers|composed of|5e6c95b9fcd24c0c8d18cb6756e91713
layers|hidden text or details|contains|5e6c95b9fcd24c0c8d18cb6756e91713
machine learning|image processing techniques|used for|5e6c95b9fcd24c0c8d18cb6756e91713
virtual layers|physical layers|simulated to|5e6c95b9fcd24c0c8d18cb6756e91713
researcher|objects|examined|96e305fc48d946daab61df9d5c64d1b5
forensic medicine|research|studied|96e305fc48d946daab61df9d5c64d1b5
algorithms|intelligence|related to|96e305fc48d946daab61df9d5c64d1b5
images|algorithms|derived from|96e305fc48d946daab61df9d5c64d1b5
virtual unwrapping|research|advances in|96e305fc48d946daab61df9d5c64d1b5
analysis|limits|pushed|96e305fc48d946daab61df9d5c64d1b5
x-ray ct scan|virtual unwrapping|precursor to|96e305fc48d946daab61df9d5c64d1b5
resolution limitations|research|area of active study|96e305fc48d946daab61df9d5c64d1b5
deep learning algorithms|imaging technologies|advances in|96e305fc48d946daab61df9d5c64d1b5
virtual unwrapping|historical knowledge|promise for restoring|96e305fc48d946daab61df9d5c64d1b5
virtual unwrapping|cultural artifacts|promise for conserving|96e305fc48d946daab61df9d5c64d1b5
virtual unwrapping|scientific research|advances in|96e305fc48d946daab61df9d5c64d1b5
6|4|divided into|9fe9dfea575147fca818074c003d84a3
